         3615335 function calls (3404599 primitive calls) in 92.096 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      112    0.039    0.000    0.715    0.006 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\transformers\models\t5\modeling_t5.py:451(compute_bias)
      112    0.038    0.000    0.038    0.000 {built-in method torch.where}
     4010    0.037    0.000    0.037    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\inspect.py:1189(tokeneater)
   637/52    0.036    0.000    0.100    0.002 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\descriptors\serialisable.py:46(from_tree)
 1380/744    0.036    0.000    0.052    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\transformers\tokenization_utils_base.py:1086(__getattr__)
  687/269    0.036    0.000    1.530    0.006 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:452(_parse_sub)
      538    0.036    0.000    0.036    0.000 {built-in method _io.open_code}
     1594    0.035    0.000    0.037    0.000 <frozen ntpath>:179(splitroot)
      112    0.035    0.000    0.035    0.000 {built-in method torch.abs}
      224    0.035    0.000    0.035    0.000 {built-in method torch._C._nn.pad_sequence}
      112    0.034    0.000    0.045    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\datasets\table.py:48(_memory_mapped_record_batch_reader_from_file)
103896/96047    0.034    0.000    0.050    0.000 {built-in method builtins.len}
     1074    0.034    0.000    0.107    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     1239    0.034    0.000    0.034    0.000 {method 'get_slice' of 'builtins.safe_open' objects}
        1    0.033    0.033    0.167    0.167 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\tabulate\__init__.py:1(<module>)
     1512    0.033    0.000    0.033    0.000 {method 'float' of 'torch._C.TensorBase' objects}
    11425    0.033    0.000    0.038    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\dataclasses.py:1294(is_dataclass)
      553    0.032    0.000    0.070    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\packaging\version.py:188(__init__)
     2576    0.032    0.000    0.032    0.000 {built-in method torch.rsqrt}
      224    0.031    0.000    0.193    0.001 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\concurrent\futures\_base.py:612(result_iterator)
      125    0.031    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
    59997    0.031    0.000    0.031    0.000 {built-in method sentencepiece._sentencepiece.SentencePieceProcessor_IdToPiece}
      118    0.031    0.000    0.031    0.000 {built-in method nt.open}
       53    0.031    0.001    0.032    0.001 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\urllib3\util\url.py:227(_encode_invalid_chars)
1624/1620    0.030    0.000    1.705    0.001 {built-in method builtins.__build_class__}
      112    0.030    0.000   75.865    0.677 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\evaluate\module.py:415(compute)
   580/18    0.029    0.000   10.199    0.567 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      224    0.029    0.000    0.047    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\bert_score\utils.py:337(padding)
62539/62337    0.029    0.000    0.238    0.000 {built-in method builtins.getattr}
    11424    0.029    0.000    0.067    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\datasets\utils\py_utils.py:202(_is_dataclass_instance)
      190    0.028    0.000    0.031    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\inspect.py:875(cleandoc)
     2464    0.028    0.000    0.055    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\torch\nn\modules\container.py:302(_get_abs_string_index)
    11312    0.028    0.000    0.032    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\dill\_dill.py:316(get)
     3920    0.028    0.000    0.164    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\torch\nn\modules\dropout.py:69(forward)
      544    0.027    0.000    0.116    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
   137461    0.027    0.000    0.027    0.000 {method 'items' of 'collections.OrderedDict' objects}
     7152    0.026    0.000    0.076    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:261(get)
      113    0.026    0.000    0.026    0.000 {method 'compress' of 'zlib.Compress' objects}
    344/9    0.026    0.000    0.130    0.014 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\threading.py:323(wait)
  704/686    0.026    0.000    0.027    0.000 {method 'read' of '_io.BufferedReader' objects}
     2128    0.026    0.000    0.049    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\dataclasses.py:1271(fields)
     1584    0.025    0.000    0.025    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\datasets\features\features.py:119(string_to_arrow)
      224    0.025    0.000    0.025    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\datasets\utils\py_utils.py:244(temp_seed)
     1081    0.025    0.000    0.085    0.000 <frozen importlib._bootstrap>:632(cached)
     2352    0.025    0.000    0.028    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\torch\nn\modules\module.py:2110(_save_to_state_dict)
        1    0.025    0.025    0.129    0.129 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\pandas\io\excel\_openpyxl.py:442(_write_cells)
    97441    0.024    0.000    0.024    0.000 {method 'append' of 'list' objects}
     9344    0.024    0.000    0.028    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:168(__getitem__)
  672/224    0.024    0.000    0.048    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\datasets\features\features.py:1452(generate_from_dict)
       56    0.024    0.000   66.635    1.190 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\bert_score\utils.py:577(bert_cos_score_idf)
